GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "38000","North Dakota",4,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",23971.3,24069.6,24990.2,25329.8,26592.1,28326.7,28636.2,29629.0,30911.4,32529.0,35030.4,35971.3,38697.4,43300.4,53326.8,54690.9,60193.0,58694.5,54756.0,56530.2,58516.4,59408.5,55850.6,56419.2,55988.0,60348.6,59916.0
 "38000","North Dakota",4,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35184.8,34240.0,36919.8,40431.0,45488.8,44757.3,46974.6,45624.4,43619.6,44908.7,45825.1,45690.7,49117.5,51898.2,53919.1,52953.2,(NA)
 "38000","North Dakota",4,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),27970.9,28144.2,28755.6,30809.8,32695.2,34419.3,35854.8,37275.5,36563.2,37235.5,36889.3,36895.0,36551.4,38756.4,40180.9,40973.4,(NA)
 "38000","North Dakota",4,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",16842.7,17083.7,18115.1,18976.9,20195.6,22129.9,23209.6,24572.0,26406.5,29044.6,32027.7,32310.4,35651.8,41602.1,52079.1,54877.0,61108.3,56952.2,52666.3,56530.2,60377.1,60892.5,55568.5,63838.5,73780.0,76043.3,75399.4
 "38000","North Dakota",4,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",15078.7,15257.9,16591.1,16930.7,17356.1,18949.5,19330.9,20501.4,21508.5,23828.8,26942.6,26722.1,29758.8,33588.0,39538.6,39538.7,42181.3,40408.2,39232.0,39743.7,42565.9,43997.2,47060.3,51326.6,55488.0,56475.1,56529.5
 "38000","North Dakota",4,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",13609.3,13756.4,14977.4,15225.0,15878.4,17510.3,17848.0,18801.6,19538.3,21527.7,24232.2,24522.5,27179.4,30154.4,35356.8,34942.8,37298.9,36000.1,35297.9,35877.1,38776.2,39873.6,43139.5,46474.9,49538.9,51143.0,50894.9
 "38000","North Dakota",4,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",12407.9,12999.5,13768.7,14510.0,15192.0,16036.0,17059.4,18124.6,19268.6,20413.5,21436.2,21992.6,23210.5,25631.3,28456.5,30444.7,32237.4,33069.1,32956.0,33030.2,34336.1,35593.8,35116.8,38406.7,41392.2,43727.5,(NA)
 "38000","North Dakota",4,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),53507,51491,54688,58830,64491,61509,63085,59811,57035,58566,59398,58838,63006,66709,69224,67549,(NA)
 "38000","North Dakota",4,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),42537,42324,42595,44830,46353,47302,48151,48866,47809,48559,47815,47512,46887,49817,51586,52267,(NA)
 "38000","North Dakota",4,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",23286,23683,25842,26493,27197,29663,29984,31731,33120,36501,40973,40186,44081,48873,56056,54337,56647,52972,51298,51830,55173,56657,60368,65975,71042,71574,70966
 "38000","North Dakota",4,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",21017,21352,23329,23824,24881,27410,27684,29101,30086,32976,36851,36878,40260,43876,50127,48021,50091,47194,46154,46788,50261,51347,55338,59739,63425,64816,63893
 "38000","North Dakota",4,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",19162,20177,21446,22705,23806,25103,26461,28053,29670,31270,32599,33073,34381,37295,40344,41839,43293,43351,43092,43075,44506,45836,45047,49367,53141,55780,(NA)
 "38000","North Dakota",4,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),85.946,87.879,89.176,89.643,92.068,92.349,92.576,91.178,91.708,88.706,91.212,93.203,91.814,90.939,88.721,88.572,(NA)
 "38000","North Dakota",4,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),76.637,78.143,80.716,83.192,87.036,88.452,89.911,88.715,90.134,88.706,93.079,96.473,96.075,99.098,103.015,106.722,(NA)
 "38000","North Dakota",4,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",434930,435651,440643,445433,442530,443692,453079,461638,471131,482494,491887,492409,503803,529778,567381,586758,607113,597638,576701,573077,578397,581324,560280,567468,582032,598198,(NA)
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: March 28, 2025."
"U.S. Bureau of Economic Analysis"
